taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource
Adisciso	488FB01F-58CA-45A0-8156-AA5F7CBF60E1	519743	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Adisciso yakushimense	95A67210-0725-4491-881C-C79A0F42388D	519744	20	Saprotroph	Litter Saprotroph	Highly Probable	Microfungus	NULL	Found in Fagus leaf litter in central Germany (Purahong et al. 2016)	Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
Adustochaete	1DD8921E-ACB7-45F1-BC21-771C0AFBD339	829295	13	Saprotroph	Wood Saprotroph	Probable	Corticioid	NULL	NULL	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
Adustomyces	F97172E6-559C-4FAC-AA30-67854ACCD664	17015	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aecidiconium	7F85DA81-C016-463B-A1C6-A9D30540DCE3	16003	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aecidiolum	7238F5A2-8A4B-4397-BC15-CD7069F1CB62	16005	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aecidium	1CB17C60-36B9-11D5-9548-00D0592D548C	16006	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aecidium campanulastri	738A6ECD-7613-4DCE-AD17-C82BE8761744	154986	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Aecidium cannabis	DD7ACC31-3265-4520-A919-7CA25F3B5FFE	259646	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Aecidium caspicum	DD1C10DE-EE0E-433D-BBFF-E982BD3E4F51	164959	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Aecidium foeniculi	EDEFF8B4-B50C-44FD-B0DD-B769642ABCC6	193232	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Aeciure	F7B6622C-EB90-4FCD-A505-5E797A0F739B	27407	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aegerita	1CB17CB6-36B9-11D5-9548-00D0592D548C	7070	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aegeritella	C7553DE6-825F-4FD8-9A8B-0D3E94B19159	7071	13	Pathotroph	Animal Pathogen	Highly Probable	Microfungus	NULL	Pathotroph isolated from ants (Formica; Espadaler & Monteserín 2003)	Espadaler X, Monteserín S. 2003. Orsis 18:13-17 ((https://www.raco.cat/index.php/Orsis/article/view/24459/24293))
Aegeritella tuberculata	15CD5BCD-CBB7-4BE9-9208-788979193791	114190	20	Pathotroph	Animal Pathogen	Highly Probable	Microfungus	NULL	Pathotroph isolated from ants (Formica; Espadaler & Monteserín 2003)	Espadaler X, Monteserín S. 2003. Orsis 18:13-17 ((https://www.raco.cat/index.php/Orsis/article/view/24459/24293))
Aegeritina	51F1B2ED-EEAB-4CAF-BE56-0DD292BCBC65	11009	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aegeritopsis	9AA5A674-4493-4968-A92D-5247A1B78D21	7072	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aequabiliella	93C04C97-6A63-478B-BBD8-92A6C06B789C	812475	13	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Pathotroph isolated from necrosis in Prunus wood (Crous et al. 2015)	Crous PW, et al. 2015. Persoonia 34:167-266 ((https://doi.org/10.3767/003158515X688433))
Aequabiliella effusa	819FFD52-4032-4745-9274-79C18803B99E	812476	20	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Syn. Phaeomoniella effusa-Pathotroph isolated from necrosis in Prunus wood (Crous et al. 2015)	Crous PW, et al. 2015. Persoonia 34:167-266 ((https://doi.org/10.3767/003158515X688433))
Aeruginoscyphus	4772A805-6B43-448C-AE4E-6A6E587FE1A2	564367	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aeruginospora	1CB1C451-36B9-11D5-9548-00D0592D548C	17016	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Afroboletus	F7F92231-BE18-477A-ACAC-5E9E11FA39CB	17017	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Secotioid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x))
Afrocantharellus	0693C390-6E41-4537-B25B-48B43A770498	518687	13	Symbiotroph	Ectomycorrhizal	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Agaricaceae	1CB1CCAB-36B9-11D5-9548-00D0592D548C	80434	9	Saprotroph	Undefined Saprotroph	Probable	Agaricoid-Gasteroid-Secotioid	NULL	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Agaricales	715D162F-5F0E-40C8-A7DC-79D488D3F937	90508	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Possible	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
Agaricochaete	41AA5A5E-4153-462F-9A5C-E391EC28A17B	17022	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Agaricostilbaceae	1CB1CCAC-36B9-11D5-9548-00D0592D548C	82058	9	Saprotroph	Undefined Saprotroph	Possible	NULL	NULL	Probably saprobic, usually associated with dead palm tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Agaricostilbum	1CB1C452-36B9-11D5-9548-00D0592D548C	17027	13	Saprotroph	Undefined Saprotroph	Highly Probable	Facultative Yeast	NULL	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
Agaricostilbum hyphaenes	F59377EF-67FB-4058-AC03-E12E0B0D125C	110161	20	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Agaricus arvensis	A287AC75-1F2E-4D60-80C6-224B5987B052	465237	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agaricus austrovinaceus	8C76457D-49CE-45D4-AF04-C3C60F8105D5	443388	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agaricus campestris	EF86A466-219F-4637-878A-597A9749FC9E	465227	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agaricus xanthodermus	1CB17CD2-36B9-11D5-9548-00D0592D548C	155072	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Aglaospora	6A9E0135-BD8F-440A-A074-89E17F4945BF	84	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Agonimia	4E1CBB54-DF14-4896-9AD7-FD616B88E94B	86	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Agrestia	A5FA003C-6FA5-4D43-8CFA-168CD769056B	88	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Syn. Circinaria	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Agrocybe	1CB17CD4-36B9-11D5-9548-00D0592D548C	17034	13	Saprotroph	Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Agrocybe limonia	5C5A73FD-BCC0-45CF-B382-0541465918B4	325924	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agrocybe mullauna	9FEF7519-A079-49F8-B4E1-182183FE0595	443384	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agrocybe olida	1CB17CD7-36B9-11D5-9548-00D0592D548C	325926	20	Saprotroph	Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agrocybe parrumbala	62AC92BF-CDB9-4723-9855-D88DDDB43FC9	443386	20	Saprotroph	Dung Saprotroph-Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agrocybe tunicola	E6B5EE82-EDF0-4984-833E-EAC938B52C7C	443385	20	Saprotroph	Dung Saprotroph-Soil Saprotroph	Probable	Agaricoid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf))
Agrogaster	1CB1C454-36B9-11D5-9548-00D0592D548C	25743	13	Saprotroph	Undefined Saprotroph	Probable	Secotioid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Agyriaceae	1CB1CCAD-36B9-11D5-9548-00D0592D548C	80435	9	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Agyrium	6EB30ABB-89FD-4E12-8A45-673CF540482B	93	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Agyrophora	0C07DB87-FE2A-43CE-98D7-A7B18C7485F3	96	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Syn. Umbilicaria	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Ahlesia	E90D053C-A6A5-4511-9078-8E55B9868D42	97	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Syn. Ahlesia	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Ahmadiago	6A990B4F-AB2F-4B8B-9F9B-92C64287C64B	510254	13	Pathotroph	Plant Pathogen	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Ahtiana	D2A111D4-8F64-4A4C-8B1F-BC840561EF61	25744	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Aigialus	45E2624F-2D83-4D8A-A5DD-3D00CE16C8B9	6002	13	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Saprotroph isolated from submerged roots and branches of Rhizophora mangle in the Caribbean Sea (Kohlmeyer & Schatz 1985)	Kohlmeyer J, Schatz S. 1985. Transactions of the British Mycological Society 85:699-707 ((https://doi.org/10.1016/S0007-1536(85)80266-7))
Aigialus grandis	3C8E1CFD-A75C-41D5-A452-0939D3F4C3A9	103973	20	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Saprotroph isolated from submerged roots and branches of Rhizophora mangle in the Caribbean Sea (Kohlmeyer & Schatz 1985)	Kohlmeyer J, Schatz S. 1985. Transactions of the British Mycological Society 85:699-707 ((https://doi.org/10.1016/S0007-1536(85)80266-7))
Aigialus parvus	4BA06F4F-A0F7-4333-9731-99D0EEC4DE5A	103974	20	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Saprotroph isolated from submerged roots and branches of Rhizophora mangle in the Caribbean Sea (Kohlmeyer & Schatz 1985)	Kohlmeyer J, Schatz S. 1985. Transactions of the British Mycological Society 85:699-707 ((https://doi.org/10.1016/S0007-1536(85)80266-7))
Ainoa	1A2159F5-F6FF-4C6D-A342-B1C65098089D	28462	13	Symbiotroph	Lichenized	Probable	Thallus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aithaloderma	1CB17CDC-36B9-11D5-9548-00D0592D548C	101	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aivenia	86B57B91-9F4D-4911-90B9-8BB01F35B923	103	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aizoago	CB722CC6-3F30-4176-945F-ECAA9E62BC0C	802766	13	Pathotroph	Plant Pathogen	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Ajellomyces	F0D549F1-648A-4005-84A1-0972594428A9	104	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Facultative pathogens of human and other mammals, with saprobic phases colonizing soil, dung, dead wood etc., especially in arid conditions (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Ajellomyces capsulatus	482E8135-8843-415B-9AF5-5CDCF6A91043	308418	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (www.cdc.gov)	https://www.cdc.gov ((https://www.cdc.gov))
Ajellomyces dermatitidis	5AEADC18-4AC8-4298-84F3-E5F06584B9C4	325946	20	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Highly Probable	Dimorphic Yeast	NULL	Syn. Blastomyces dermatitidis, Zymonema dermatitidis; Facultative pathogen causing blastomycosis - the fungus lives in the environment, particularly in moist soil and in decomposing matter such as wood and leave (http://www.cdc.gov)	Bowman BH, et al. 1992. Molecular Biology and Evolution 9:893-904 ((https://doi.org/10.1093/oxfordjournals.molbev.a040766)); https://www.cdc.gov ((https://www.cdc.gov))
Ajellomycetaceae	1F4E3A3C-51CA-4A20-BC8C-AD66EA142552	82148	9	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Facultative pathogens of human and other mammals, with saprobic phases colonizing soil, dung, dead wood etc., especially in arid conditions (Cannon & Kirk 2007); This family contains most of the serious (non-opportunistic) human pathogenic fungi, sometimes affecting healthy as well as immunocompromised people especially in the netropics (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Akanthomyces	1CB17CDE-36B9-11D5-9548-00D0592D548C	7083	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Alanphillipsia	CDCDC883-9EC6-47CA-9B0A-4721C5B8E5B4	805816	13	Symbiotroph	Endophyte	Probable	Microfungus	NULL	Endophyte isolated fom from Aloe (Crous et al. 2014)	Crous PW, et al. 2014. Persoonia 33:212-289 ((https://doi.org/10.3767/003158514X685680))
Alanphillipsia aloeicola	EB66476B-B21F-4017-83EE-43CFA3398357	810590	20	Symbiotroph	Endophyte	Probable	Microfungus	NULL	Endophyte isolated fom from Aloe (Crous et al. 2014)	Crous PW, et al. 2014. Persoonia 33:212-289 ((https://doi.org/10.3767/003158514X685680))
Alanphillipsia aloicola	C884C13A-ECA8-45A2-9FE7-46AF8CD437B4	820563	20	Symbiotroph	Endophyte	Probable	Microfungus	NULL	Endophyte isolated fom from Aloe (Crous et al. 2014)	Crous PW, et al. 2014. Persoonia 33:212-289 ((https://doi.org/10.3767/003158514X685680))
Alatosessilispora	B3CB9C6C-1179-446C-A599-57DB4E137A74	11011	13	Symbiotroph	Epiphyte	Possible	Microfungus	NULL	Epiphyte isolated in the rain drops from intact leaf-surface (Ando & Tubaki 1984)	Ando K, Tubaki K. 1984. Transactions of the Mycological Society of Japan 25:21-37
Alatosessilispora bibrachiata	72D2E3B2-0CD5-476C-8B8C-1C8862D7F20C	105911	20	Symbiotroph	Epiphyte	Possible	Microfungus	NULL	Epiphyte isolated in the rain drops from intact leaf-surface (Ando & Tubaki 1984)	Ando K, Tubaki K. 1984. Transactions of the Mycological Society of Japan 25:21-37
Alatospora	1CB1CEF9-36B9-11D5-9548-00D0592D548C	7085	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albahypha	BA541A1B-790F-4688-9B35-668F06A03C47	561639	13	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
Albatrellaceae	1CB1CE7F-36B9-11D5-9548-00D0592D548C	80437	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Probable	Agaricoid-Polyporoid	NULL	Most species are associated with conifers and considered to be ectomycorrhizal, but some may be saprobic and gain nutrition from rotten burried wood. The ectomycorrhizal association might not be stable (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Albatrellopsis	68812D91-2B89-41E1-877B-C042EBA952B2	27304	13	Symbiotroph	Ectomycorrhizal	Probable	Polyporoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albatrellus	1CB1C457-36B9-11D5-9548-00D0592D548C	17035	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Polyporoid	NULL	Common name - sheeps polypore	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
Albertiniella	1CB1C458-36B9-11D5-9548-00D0592D548C	109	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albifimbria	901CAD59-8356-48B7-BEDB-D531A890A9DB	815924	13	Pathotroph-Saprotroph	Fungal Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Probable	Microfungus	NULL	Saprotroph isolated from soil, one specimen revised from one species collected on from basidioma of a resupinate polypore on a dead branch (Lombard L, et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
Albifimbria terrestris	147AF480-7A2F-4AA0-A795-DE09E1DCF444	815926	20	Saprotroph	Soil Saprotroph-Wood Saprotroph	Probable	Microfungus	NULL	Saprotroph isolated from soil and unknown dead hardwood (Lombard L, et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
Albifimbria verrucaria	ABDD1FD1-98F9-4654-8293-2228A7052FF0	815927	20	Pathotroph-Saprotroph	Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprotroph isolated from cotton material, plant material, soil, and basidioma of a resupinate polypore on a dead branch (Lombard L, et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
Albifimbria viridis	643C9E61-0A88-485E-9C73-2313A761F0E1	815928	20	Saprotroph	Soil Saprotroph	Probable	Microfungus	NULL	Saprotroph isolated from soil (Lombard L, et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
Alboleptonia	1CB1C459-36B9-11D5-9548-00D0592D548C	17036	13	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albonectria	1CB1CEED-36B9-11D5-9548-00D0592D548C	27953	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Possible	Microfungus	NULL	Endophyte host-Fabaceae, Sapotaceae	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albonectria rigidiuscula	1CB1AEB9-36B9-11D5-9548-00D0592D548C	460215	20	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Possible	Microfungus	NULL	Host - Fabaceae, Sapotaceae	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))
Albosynnema	0CC74F96-F84D-410A-B153-C77DF29C7A67	7086	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Albotricha	74677C14-678E-4051-813C-F08E6D0F4CCB	114	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aldona	1CB1C45A-36B9-11D5-9548-00D0592D548C	115	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aldonata	9098A69C-B46C-4950-802F-6E8A2D02FD1F	25242	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Alectoria	5D8C64EB-2D94-44FA-B947-132EE2344C21	116	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Alessioporus	138EDA07-1381-4145-B1B8-82FBC1F24D8B	808529	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Boletoid	NULL	Ectomycorrhizal fungus associated to Quercus (Gelardi et al. 2014)	Gelardi, M, et al. 2014. Mycologia 106:1168-1187 ((https://doi.org/10.3852/14-042))
Alessioporus ichnusanus	AFF0BFFC-FF4F-474D-9358-C9ED6BCE9AA6	808530	20	Symbiotroph	Ectomycorrhizal	Highly Probable	Boletoid	NULL	Syn. Xerocomus ichnusanus; Ectomycorrhizal fungus associated to Quercus (Gelardi et al. 2014)	Gelardi, M, et al. 2014. Mycologia 106:1168-1187 ((https://doi.org/10.3852/14-042))
Aleuria aurantia	1CB17CF1-36B9-11D5-9548-00D0592D548C	473871	20	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Aleurobotrys	1CB1D5F0-36B9-11D5-9548-00D0592D548C	25703	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aleurocystidiellum	1CB1C45E-36B9-11D5-9548-00D0592D548C	17039	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aleurocystis	1CB1C45F-36B9-11D5-9548-00D0592D548C	17040	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Aleuromyces	E981F9EA-5277-45F2-9F4E-1D5924C67072	28584	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Alfaria	6F934B6E-3358-4E35-80F4-38A8098FC37C	808923	13	Saprotroph	Soil Saprotroph-Undefined Saprotroph	Highly Probable	Microfungus	NULL	Saprotroph isolated from leaf litter and soil (Lombard et al. 2016)	Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
